id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91201,10.72455,Entire home/apt,2550,3,50,2022-07-25,0.45,2,342,12,
69964,Lovely flat in Oslo city centre,175633,Kristin,,Sagene,59.94059,10.77397,Entire home/apt,1073,28,9,2021-06-06,0.07,1,0,0,
71725,Central big room - ap with balcony,368229,Reidun,,Gamle Oslo,59.90795,10.77987,Private room,513,4,51,2022-06-05,0.36,1,94,2,
85902,"Stylish design apt, east. Close to train station",250159,Melissa,,Gamle Oslo,59.91074,10.77232,Entire home/apt,1429,3,66,2022-07-02,0.48,2,1,3,
94158,Beautiful 3 bedroom penthouse,503528,Katrine,,Gamle Oslo,59.90703,10.78589,Entire home/apt,750,90,140,2021-06-28,1.45,1,0,0,
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91253,10.77205,Private room,507,4,231,2022-09-02,1.68,2,0,1,
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92398,10.74787,Private room,887,5,42,2022-03-03,0.31,2,207,1,
165218,"Bedroom, nice riverview, in Oslo",787976,Jon,,Sagene,59.9375,10.76554,Private room,650,2,23,2022-08-27,0.17,1,0,5,
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.93024,10.75964,Entire home/apt,16819,100,36,2014-10-26,0.26,1,365,0,
256459,Waterfront suite 12 min from centre,1347737,Kåre & Truls,,Nordstrand,59.84704,10.7778,Entire home/apt,566,1,291,2022-09-24,2.40,2,332,33,
275790,"Peaceful, central with balcony.",793479,Espen,,Sagene,59.93061,10.75375,Entire home/apt,770,20,12,2022-07-10,0.09,1,193,2,
284644,Central Room perfect for Solo Traveler,1324869,Bente,,Gamle Oslo,59.91826,10.76147,Private room,964,4,100,2021-08-25,0.80,1,0,0,
314213,"VERY CENTRAL, peaceful  in the heart of Oslo.",1614549,Peter Piotr,,Grünerløkka,59.92085,10.74995,Private room,429,5,112,2022-08-05,0.87,2,294,5,
386879,OSLO'S NICEST APARTMENT WITH ROOF TERRACE,1935720,Ida,,St. Hanshaugen,59.92223,10.74946,Entire home/apt,1052,90,47,2018-12-15,0.37,1,361,0,
397657,Charming apartment in central Oslo,1986686,Hanne,,Grünerløkka,59.92634,10.75088,Entire home/apt,1000,3,18,2019-10-27,0.21,1,10,0,
405953,Wonderful central loft apartment,2023264,Marius,,Grünerløkka,59.92009,10.76796,Entire home/apt,4729,4,9,2022-07-21,0.14,1,207,1,
500008,"10 min to Oslo Central Station, Garden Fjord view",2381047,Volkolas,,Nordstrand,59.88523,10.76879,Entire home/apt,884,2,106,2019-11-08,0.86,1,15,0,
503782,Best of Grünerløkka,2484478,Jarle,,Grünerløkka,59.92428,10.75828,Entire home/apt,1679,3,17,2022-09-04,0.15,1,4,6,
567731,"Lovely loft central, near metro and uni",2793327,Rein,,Vestre Aker,59.9373,10.69927,Private room,486,2,111,2019-12-08,0.89,2,29,0,
580690,A home with a view,2857446,Mailen,,Nordstrand,59.88321,10.78977,Entire home/apt,1500,3,1,2017-07-20,0.02,1,0,0,
588353,A place to call home :),210068,Trude Rebekka,,Grünerløkka,59.92366,10.7692,Entire home/apt,936,2,585,2022-08-20,4.74,4,0,39,
590834,"Nice apartment, close to tram, bus and train",2914938,Bent,,Nordre Aker,59.96531,10.77889,Entire home/apt,590,7,8,2020-07-01,0.07,1,278,0,
613873,Loft in a stable,1272535,Elin Killie,,Grünerløkka,59.92132,10.75942,Entire home/apt,1578,1,21,2022-08-12,0.19,1,327,5,
