id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103870,CASACHICA Your holiday home in Rome,535822,Fabrizio,,I Centro Storico,41.89711,12.50423,Entire home/apt,78,3,225,2022-08-25,1.64,1,319,30,
17629440,ISOLA DEL CUORE,68534156,Cristina,,VII San Giovanni/Cinecittà,41.78984,12.60899,Private room,45,1,213,2022-07-12,3.22,2,343,8,
2737,"Elif's room in cozy, clean flat.",3047,Elif,,VIII Appia Antica,41.87136,12.48215,Private room,50,7,7,2015-05-28,0.07,6,365,0,
2903,Stay a night in Calisto6 B&B Rome,3280,Andrea,,I Centro Storico,41.88824,12.46953,Private room,164,1,55,2017-10-31,0.33,3,318,0,
3079,Cozy apartment  (2-4)with Colisseum  view,3504,Laura,,I Centro Storico,41.895,12.49117,Entire home/apt,90,3,21,2022-04-30,0.15,4,265,2,
11834,"Roma ""Charming Boschetto House""",44552,Serena,,I Centro Storico,41.8965,12.49211,Entire home/apt,100,2,158,2022-09-04,1.14,1,325,16,
104339,Colorful apartment close MetroB,543054,Giuseppe,,VIII Appia Antica,41.85585,12.48361,Entire home/apt,80,2,7,2017-12-02,0.05,3,0,0,
12398,Casa Donatello - Home far from Home,11756,Gea,,II Parioli/Nomentano,41.92582,12.46928,Entire home/apt,75,1,44,2022-08-10,0.30,1,242,1,
105153,Small but nice double room in Rome,546346,Giulia,,XIV Monte Mario,41.9428,12.41986,Private room,40,14,2,2014-05-21,0.02,5,254,0,
16276,B&B Calisto6 great location in Rome,3280,Andrea,,I Centro Storico,41.89007,12.47122,Private room,164,1,6,2015-06-18,0.04,3,359,0,
108035,Sweet Rome in a typical district.,559233,Franco,,V Prenestino/Centocelle,41.88814,12.52974,Entire home/apt,100,3,45,2022-07-13,0.40,1,335,6,3386306163
108039,Sweet terrace by Vatican Musuem New wifi 100Mbs!,355604,Alessandro & Silvia,,I Centro Storico,41.90428,12.4451,Entire home/apt,75,3,128,2021-06-09,1.31,3,0,0,
19965,DI FRONTE AI MUSEI VATICANI 2 CAMERE DA LETTO,75450,Sasa,,I Centro Storico,41.9073,12.45349,Entire home/apt,101,3,87,2022-08-21,0.67,9,124,26,
19967,A 5 MIN A PIEDI P.ZZA S. PIETRO 2 CAMERE SPAZIOSO,75450,Sasa,,I Centro Storico,41.908283,12.452617,Entire home/apt,103,3,39,2022-07-10,0.36,9,199,7,
